text,category,priority,sentiment,resolution_time
Product quality is very good,Product,Low,0.375,113
Packaging is completely crushed worst experience not good,Packaging,Low,-0.545,92
Honestly The box arrived damaged so immunity booster is smells weird need urgent help,Packaging,Medium,-0.375,16
This is to inform you Received vitamin tablets in torn condition angry need urgent help not good,Packaging,Medium,-0.444,42
This protein powder feels contaminated but I think weight loss supplement is smells weird because I got vomiting kindly resolve very bad service,Product,High,-0.375,10
Seal was leaking this is not acceptable,Packaging,Medium,0.0,36
This is to inform you I think protein powder is not fresh because I got allergy very disappointed need urgent help,Product,High,-0.375,6
Very bad experience Packaging is completely crushed kindly resolve,Packaging,Low,-0.375,81
Very bad experience Received energy drink in already opened condition even herbal capsules is not fresh not happy pls help asap,Packaging,Medium,-0.286,14
Very bad experience I am facing no stock plus Received protein powder in already opened condition frustrated not good,Trade,Medium,-0.545,36
I want to complain Packaging is completely leaking because The box arrived wet not happy very bad service,Packaging,Medium,-0.286,43
I want to complain The box arrived torn,Packaging,Low,0.0,70
Very bad experience weight loss supplement order not updated,Trade,Low,-0.375,55
"I used immunity booster and got nausea even After using weight loss supplement, I faced dizziness respond fast urgent",Product,High,0.0,4
No response about price confusion plus immunity booster order not updated frustrated this is not acceptable reply fast,Trade,Medium,-0.375,18
Nice experience overall,Trade,Low,0.375,92
I want to complain Packaging is completely torn this is not acceptable,Packaging,Low,0.0,120
Good packaging and good quality,Product,Low,0.375,112
I want to complain Packaging is completely torn not happy urgent,Packaging,Medium,0.167,47
"No issues, product is perfect",Product,Low,0.375,48
Honestly vitamin tablets is smells weird but The box arrived already opened not happy respond fast,Product,Medium,0.167,31
Honestly No response about wrong billing but This energy drink feels contaminated frustrated,Trade,Medium,-0.375,40
Facing issue herbal capsules is tastes bad not happy respond fast,Product,Low,-0.444,115
I am happy with the product,Product,Low,0.444,87
My order has late shipment very bad service,Trade,Medium,-0.5,45
Seal was crushed because The box arrived damaged extremely upset,Packaging,Medium,-0.545,42
I want to complain I used immunity booster and got burning sensation also I used protein powder and got skin rash extremely upset,Product,Low,-0.375,119
Seal was torn but I used herbal capsules and got nausea please fix this,Packaging,Low,0.0,56
Very satisfied with service,Packaging,Low,0.444,68
Honestly vitamin tablets is smells weird frustrated not good,Product,Low,-0.375,60
Facing issue I am facing wrong billing frustrated please fix this,Trade,Low,-0.5,79
I think energy drink is expired because I got burning sensation worst experience please fix this,Product,Medium,-0.545,48
This weight loss supplement feels rotten even Packaging is completely leaking very disappointed need urgent help,Product,High,-0.375,3
Honestly No response about wrong billing plus There is late shipment for protein powder extremely upset,Trade,Medium,-0.5,44
I need help herbal capsules is contaminated extremely upset,Product,Medium,-0.375,42
Everything is working fine,Trade,Low,0.0,117
"This is to inform you After using weight loss supplement, I faced burning sensation  urgent",Product,Medium,0.0,44
"Honestly After using immunity booster, I faced allergy need urgent help",Product,High,0.0,2
My order has wrong billing and Packaging is completely torn frustrated  not good,Trade,Low,-0.375,98
Honestly I think herbal capsules is rotten because I got headache also I am facing no stock very disappointed,Product,Medium,-0.375,21
I am facing delivery delay even herbal capsules packaging was already opened worst experience,Trade,High,-0.615,7
"No issues, product is perfect",Product,Low,0.375,103
This is to inform you Received herbal capsules in broken condition please fix this,Packaging,Medium,-0.375,43
The box arrived crushed,Packaging,Low,0.0,80
I want to complain This herbal capsules feels low quality angry very bad service,Product,Medium,-0.583,21
Very bad experience Seal was crushed because weight loss supplement order not updated urgent,Packaging,Medium,-0.375,16
I am happy with the product,Trade,Low,0.444,64
Product quality is very good,Trade,Low,0.375,116
Product quality is very good,Product,Low,0.375,80
Everything is working fine,Product,Low,0.0,75
"After using energy drink, I faced allergy angry need urgent help",Product,High,-0.444,7
Very bad experience Packaging is completely already opened frustrated urgent,Packaging,Medium,-0.545,20
"I want to complain The box arrived wet also After using herbal capsules, I faced vomiting respond fast",Packaging,High,0.0,6
Facing issue The box arrived wet angry,Packaging,Low,-0.545,116
Delivery was fast and smooth,Product,Low,0.375,96
weight loss supplement order not updated and There is late shipment for herbal capsules frustrated respond fast pls help asap,Trade,High,-0.5,2
Honestly Received protein powder in damaged condition very disappointed please fix this,Packaging,Low,-0.545,60
Nice experience overall,Product,Low,0.375,99
I am facing late shipment and I used energy drink and got allergy frustrated,Trade,High,-0.5,6
Product quality is very good,Packaging,Low,0.375,52
Everything is working fine,Trade,Low,0.0,73
"protein powder order not updated even After using herbal capsules, I faced allergy not good",Trade,Medium,0.0,17
I need help I used protein powder and got skin rash angry,Product,Low,-0.444,52
No response about delivery delay please fix this,Trade,Medium,-0.286,32
Received herbal capsules in torn condition,Packaging,Low,0.0,99
I need help The box arrived wet even Received immunity booster in torn condition not happy kindly resolve,Packaging,Low,0.167,60
"I need help After using vitamin tablets, I faced stomach pain",Product,Low,0.0,76
I need help I used weight loss supplement and got headache so My order has delivery delay angry pls help asap,Product,Medium,-0.545,43
The box arrived leaking also immunity booster packaging was torn,Packaging,Low,0.0,68
I am facing wrong billing need urgent help,Trade,Medium,0.0,46
vitamin tablets is tastes bad kindly resolve,Product,Low,-0.375,114
No response about no stock but immunity booster is tastes bad,Trade,Low,-0.375,54
Received herbal capsules in crushed condition not happy,Packaging,Low,0.167,119
Honestly weight loss supplement is not fresh also No response about price confusion kindly resolve,Product,Low,0.0,87
Very bad experience I used energy drink and got stomach pain so There is order not updated for vitamin tablets extremely upset,Product,Low,-0.545,55
I am happy with the product,Product,Low,0.444,67
Packaging is completely already opened and weight loss supplement order not updated,Packaging,Medium,0.0,20
I used energy drink and got skin rash even I am facing no stock,Product,Low,0.0,69
I need help Seal was damaged even I am facing no stock very disappointed respond fast,Packaging,Medium,-0.545,39
This weight loss supplement feels tastes bad so weight loss supplement order not updated angry kindly resolve very bad service,Product,Low,-0.583,61
Good packaging and good quality,Trade,Low,0.375,76
This herbal capsules feels smells weird even energy drink order not updated worst experience,Product,Low,-0.545,85
"After using protein powder, I faced vomiting worst experience reply fast",Product,High,-0.545,5
Received energy drink in wet condition so immunity booster packaging was torn,Packaging,Low,0.0,66
No response about delivery delay extremely upset respond fast,Trade,Medium,-0.5,25
Very bad experience Received immunity booster in wet condition,Packaging,Low,-0.375,74
Delivery was fast and smooth,Packaging,Low,0.375,117
Nice experience overall,Packaging,Low,0.375,93
"This is to inform you weight loss supplement is fake even After using vitamin tablets, I faced skin rash please fix this",Product,Medium,-0.444,36
I am happy with the product,Product,Low,0.444,80
I think energy drink is rotten because I got allergy also The box arrived damaged not happy,Product,High,-0.286,9
Facing issue Received immunity booster in crushed condition respond fast,Packaging,Low,-0.286,86
Nice experience overall,Trade,Low,0.375,108
I need help The box arrived damaged need urgent help,Packaging,Medium,-0.375,17
Good packaging and good quality,Packaging,Low,0.375,62
I want to complain The box arrived already opened plus Received herbal capsules in crushed condition extremely upset reply fast,Packaging,Medium,-0.375,29
I want to complain I am facing wrong billing extremely upset kindly resolve,Trade,Low,-0.375,72
I need help immunity booster packaging was crushed so vitamin tablets order not updated angry,Packaging,Low,-0.444,92
Nice experience overall,Trade,Low,0.375,105
I need help My order has price confusion and Seal was damaged very disappointed reply fast,Trade,Medium,-0.545,43
Good packaging and good quality,Product,Low,0.375,110
"No issues, product is perfect",Trade,Low,0.375,52
Product quality is very good,Product,Low,0.375,115
This weight loss supplement feels low quality very bad service,Product,Low,-0.375,51
Very bad experience energy drink packaging was seal missing also No response about price confusion angry,Packaging,Medium,-0.583,22
I am happy with the product,Trade,Low,0.444,53
"This is to inform you After using vitamin tablets, I faced skin rash very disappointed respond fast",Product,Low,-0.375,114
"No issues, product is perfect",Trade,Low,0.375,103
Very satisfied with service,Trade,Low,0.444,96
Very satisfied with service,Trade,Low,0.444,103
"No issues, product is perfect",Trade,Low,0.375,67
Facing issue I am facing price confusion also There is no stock for herbal capsules please fix this,Trade,Medium,-0.286,21
I want to complain Seal was crushed because My order has order not updated extremely upset,Packaging,Low,-0.375,114
Everything is working fine,Product,Low,0.0,58
Honestly Received vitamin tablets in wet condition even I used weight loss supplement and got allergy,Packaging,Medium,0.0,32
I need help Seal was torn very disappointed very bad service,Packaging,Low,-0.545,106
Facing issue No response about order not updated very disappointed reply fast,Trade,Low,-0.5,81
I used vitamin tablets and got skin rash,Product,Low,0.0,83
vitamin tablets packaging was torn plus There is late shipment for immunity booster frustrated this is not acceptable,Packaging,Medium,-0.5,16
Very bad experience I used immunity booster and got nausea worst experience kindly resolve reply fast,Product,Medium,-0.643,16
Very satisfied with service,Product,Low,0.444,79
I need help Received vitamin tablets in wet condition so Packaging is completely broken,Packaging,Medium,-0.375,15
I am happy with the product,Product,Low,0.444,88
Honestly I used weight loss supplement and got headache also Received vitamin tablets in crushed condition extremely upset,Product,Low,-0.375,97
Product quality is very good,Product,Low,0.375,113
Facing issue weight loss supplement is tastes bad also There is no stock for herbal capsules frustrated respond fast,Product,Medium,-0.615,46
I am facing no stock but energy drink is contaminated frustrated need urgent help,Trade,High,-0.375,7
"The box arrived damaged and After using protein powder, I faced allergy",Packaging,High,-0.375,6
I need help Seal was leaking,Packaging,Medium,0.0,34
Nice experience overall,Packaging,Low,0.375,106
Facing issue I think immunity booster is not fresh because I got stomach pain because immunity booster order not updated extremely upset reply fast,Product,Low,-0.5,85
Very satisfied with service,Trade,Low,0.444,56
This energy drink feels tastes bad this is not acceptable,Product,Low,-0.375,113
Very bad experience I am facing no stock angry respond fast urgent,Trade,High,-0.583,3
Product quality is very good,Trade,Low,0.375,65
Nice experience overall,Trade,Low,0.375,68
I want to complain This immunity booster feels expired plus This vitamin tablets feels not fresh very disappointed,Product,Medium,-0.375,18
I need help vitamin tablets is low quality even energy drink packaging was crushed angry,Product,Medium,-0.444,35
This is to inform you energy drink packaging was wet frustrated,Packaging,Low,-0.375,106
I want to complain Packaging is completely wet,Packaging,Low,0.0,118
I used protein powder and got dizziness respond fast,Product,Medium,0.0,32
Very bad experience I think herbal capsules is rotten because I got burning sensation extremely upset pls help asap,Product,Medium,-0.545,22
I think vitamin tablets is smells weird because I got dizziness,Product,Medium,0.0,23
Product quality is very good,Product,Low,0.375,70
Very bad experience The box arrived broken because My order has order not updated,Packaging,Low,-0.545,86
I need help I think vitamin tablets is fake because I got headache but Seal was broken very disappointed this is not acceptable,Product,High,-0.667,4
Facing issue This herbal capsules feels not fresh so My order has price confusion,Product,Low,-0.286,80
Delivery was fast and smooth,Packaging,Low,0.375,67
Facing issue My order has late shipment extremely upset respond fast,Trade,Medium,-0.583,27
"No issues, product is perfect",Product,Low,0.375,87
I need help No response about price confusion plus protein powder order not updated not happy kindly resolve not good,Trade,Low,0.444,76
Facing issue I think immunity booster is smells weird because I got headache please fix this,Product,Low,-0.286,88
My order has delivery delay very disappointed need urgent help very bad service,Trade,Medium,-0.615,18
herbal capsules packaging was crushed even My order has no stock,Packaging,Low,0.0,90
I need help Received weight loss supplement in torn condition not happy  very bad service,Packaging,Low,-0.286,81
Honestly I am facing delivery delay plus Packaging is completely broken,Trade,Medium,-0.583,28
Product quality is very good,Product,Low,0.375,100
"No issues, product is perfect",Product,Low,0.375,75
protein powder packaging was wet and immunity booster packaging was already opened not happy respond fast,Packaging,Medium,0.167,47
Honestly No response about late shipment also There is order not updated for energy drink please fix this reply fast,Trade,Medium,-0.286,30
"Honestly After using immunity booster, I faced dizziness plus Received weight loss supplement in wet condition extremely upset please fix this",Product,Medium,-0.375,26
This is to inform you Received herbal capsules in seal missing condition,Packaging,Medium,0.0,47
"I need help This herbal capsules feels tastes bad even After using weight loss supplement, I faced burning sensation",Product,Low,-0.375,116
Received vitamin tablets in torn condition angry respond fast,Packaging,Medium,-0.444,41
Honestly I think herbal capsules is rotten because I got nausea extremely upset,Product,Medium,-0.375,17
Delivery was fast and smooth,Packaging,Low,0.375,62
Very satisfied with service,Packaging,Low,0.444,98
"No issues, product is perfect",Product,Low,0.375,96
I need help vitamin tablets packaging was damaged extremely upset this is not acceptable,Packaging,Low,-0.545,103
"I need help This energy drink feels tastes bad because After using weight loss supplement, I faced vomiting very disappointed",Product,Medium,-0.545,21
"No issues, product is perfect",Trade,Low,0.375,70
"I need help My order has late shipment but After using protein powder, I faced allergy",Trade,High,-0.286,10
This is to inform you I am facing price confusion,Trade,Low,0.0,49
My order has order not updated frustrated,Trade,Low,-0.375,48
This is to inform you vitamin tablets is expired frustrated this is not acceptable,Product,Medium,-0.375,20
"This is to inform you After using weight loss supplement, I faced dizziness even The box arrived seal missing respond fast",Product,High,0.0,6
I want to complain immunity booster order not updated very bad service,Trade,Low,-0.375,60
I need help I think immunity booster is tastes bad because I got nausea respond fast urgent,Product,Medium,-0.375,18
I want to complain The box arrived broken not happy need urgent help,Packaging,Medium,-0.286,48
Everything is working fine,Trade,Low,0.0,109
"Honestly After using weight loss supplement, I faced allergy please fix this very bad service",Product,Medium,-0.375,26
There is no stock for protein powder urgent,Trade,Medium,0.0,36
Very bad experience My order has price confusion angry kindly resolve,Trade,Low,-0.583,84
Honestly I used weight loss supplement and got skin rash also No response about no stock extremely upset please fix this urgent,Product,Medium,-0.375,29
The box arrived wet need urgent help pls help asap,Packaging,Medium,0.0,35
"Honestly After using protein powder, I faced allergy even weight loss supplement order not updated angry",Product,Medium,-0.444,40
The box arrived torn so No response about price confusion worst experience,Packaging,Low,-0.545,110
"This is to inform you I am facing delivery delay and After using protein powder, I faced dizziness this is not acceptable",Trade,High,-0.286,6
Good packaging and good quality,Product,Low,0.375,50
vitamin tablets packaging was already opened so Packaging is completely broken,Packaging,Medium,-0.375,23
Everything is working fine,Product,Low,0.0,107
Facing issue Packaging is completely seal missing because I used vitamin tablets and got skin rash,Packaging,Medium,-0.286,15
Very bad experience I think immunity booster is not fresh because I got dizziness this is not acceptable,Product,Medium,-0.375,23
Product quality is very good,Packaging,Low,0.375,114
protein powder is low quality worst experience,Product,Medium,-0.545,16
"I need help After using energy drink, I faced headache plus Packaging is completely wet not good",Product,Low,0.0,115
Very bad experience I used vitamin tablets and got vomiting worst experience,Product,High,-0.643,10
"The box arrived already opened but After using weight loss supplement, I faced allergy please fix this urgent",Packaging,High,0.0,9
Very bad experience energy drink packaging was leaking plus The box arrived seal missing angry kindly resolve very bad service,Packaging,High,-0.583,2
I need help There is delivery delay for herbal capsules so No response about delivery delay please fix this not good,Trade,Low,-0.286,84
Very bad experience I am facing no stock also I think energy drink is expired because I got vomiting,Trade,High,-0.375,7
I want to complain Received herbal capsules in seal missing condition plus Packaging is completely crushed frustrated,Packaging,Medium,-0.375,17
I need help I used immunity booster and got headache pls help asap,Product,Medium,0.0,16
"Very bad experience After using protein powder, I faced skin rash reply fast",Product,Low,-0.375,81
Received vitamin tablets in already opened condition very disappointed kindly resolve urgent,Packaging,Medium,-0.375,34
Honestly I think vitamin tablets is tastes bad because I got nausea and Received vitamin tablets in already opened condition not good,Product,Medium,-0.375,38
This is to inform you Received protein powder in wet condition even My order has delivery delay respond fast,Packaging,Medium,-0.286,47
protein powder packaging was broken and Received vitamin tablets in torn condition very bad service,Packaging,Medium,-0.545,38
Good packaging and good quality,Trade,Low,0.375,60
I need help Packaging is completely broken not good,Packaging,Low,-0.375,70
Very bad experience This immunity booster feels contaminated angry,Product,Medium,-0.583,20
"No issues, product is perfect",Packaging,Low,0.375,95
Packaging is completely torn and My order has wrong billing worst experience need urgent help,Packaging,Medium,-0.545,46
This protein powder feels tastes bad angry need urgent help,Product,Medium,-0.583,19
Everything is working fine,Product,Low,0.0,55
Facing issue I used herbal capsules and got burning sensation worst experience reply fast,Product,Medium,-0.615,12
I want to complain I am facing late shipment and I used energy drink and got nausea extremely upset,Trade,Low,-0.5,120
Very bad experience No response about no stock worst experience,Trade,Medium,-0.643,42
My order has order not updated because Seal was damaged,Trade,Medium,-0.375,14
herbal capsules is not fresh extremely upset  urgent,Product,Medium,-0.375,32
Facing issue I used energy drink and got nausea very disappointed,Product,Low,-0.5,101
"This is to inform you After using herbal capsules, I faced headache so I am facing no stock",Product,Low,0.0,86
Delivery was fast and smooth,Packaging,Low,0.375,63
immunity booster packaging was wet even There is no stock for vitamin tablets angry this is not acceptable,Packaging,Medium,-0.444,19
This is to inform you Packaging is completely seal missing please fix this,Packaging,Medium,0.0,16
herbal capsules is fake,Product,Medium,-0.444,13
Product quality is very good,Trade,Low,0.375,48
Very bad experience Seal was torn worst experience kindly resolve very bad service,Packaging,Low,-0.643,81
I need help herbal capsules packaging was crushed plus herbal capsules packaging was already opened not good,Packaging,Medium,0.0,43
This protein powder feels low quality so I think herbal capsules is not fresh because I got burning sensation please fix this very bad service,Product,Medium,-0.375,46
The box arrived broken also The box arrived damaged need urgent help,Packaging,High,-0.545,5
The box arrived crushed even Seal was torn very disappointed,Packaging,Low,-0.375,90
I want to complain Received herbal capsules in crushed condition even My order has no stock angry,Packaging,Medium,-0.444,18
This is to inform you immunity booster packaging was torn because There is order not updated for immunity booster,Packaging,Low,0.0,68
No response about order not updated,Trade,Low,0.0,93
Nice experience overall,Packaging,Low,0.375,111
Very bad experience No response about price confusion very disappointed please fix this,Trade,Low,-0.545,53
I want to complain I am facing wrong billing even The box arrived wet please fix this reply fast,Trade,Medium,0.0,27
The box arrived leaking kindly resolve very bad service,Packaging,Medium,-0.375,38
Packaging is completely seal missing,Packaging,Medium,0.0,13
Very satisfied with service,Trade,Low,0.444,90
I used vitamin tablets and got allergy but I think protein powder is expired because I got nausea angry respond fast,Product,High,-0.444,9
"Honestly After using protein powder, I faced skin rash plus Seal was leaking angry this is not acceptable",Product,Medium,-0.444,33
I need help There is price confusion for energy drink so I used immunity booster and got skin rash kindly resolve not good,Trade,Low,0.0,80
This is to inform you No response about delivery delay urgent,Trade,Medium,-0.286,32
Facing issue There is price confusion for vitamin tablets very disappointed respond fast urgent,Trade,Medium,-0.5,31
Facing issue I used energy drink and got nausea even Seal was broken,Product,Medium,-0.583,40
This is to inform you I am facing price confusion respond fast,Trade,Medium,0.0,48
Packaging is completely torn but I am facing wrong billing very disappointed this is not acceptable,Packaging,Low,-0.375,57
Packaging is completely damaged plus My order has wrong billing very disappointed respond fast,Packaging,Medium,-0.545,28
The box arrived crushed angry,Packaging,Low,-0.444,116
I need help energy drink is rotten because Received protein powder in crushed condition worst experience reply fast,Product,High,-0.545,8
Packaging is completely leaking also I used weight loss supplement and got headache,Packaging,Medium,0.0,34
Delivery was fast and smooth,Product,Low,0.375,78
Facing issue My order has late shipment but There is wrong billing for immunity booster angry kindly resolve,Trade,Medium,-0.615,26
My order has late shipment also This vitamin tablets feels expired worst experience,Trade,High,-0.615,2
I want to complain Received immunity booster in leaking condition even I think weight loss supplement is rotten because I got allergy not happy,Packaging,High,0.167,4
This vitamin tablets feels fake extremely upset reply fast,Product,High,-0.583,6
"Received immunity booster in crushed condition even After using weight loss supplement, I faced skin rash",Packaging,Low,0.0,84
Product quality is very good,Packaging,Low,0.375,111
I want to complain No response about delivery delay plus I used energy drink and got vomiting worst experience this is not acceptable,Trade,High,-0.615,6
Seal was crushed frustrated,Packaging,Low,-0.375,72
"My order has late shipment even After using energy drink, I faced vomiting",Trade,High,-0.286,10
I think energy drink is smells weird because I got headache,Product,Low,0.0,80
I am facing order not updated respond fast,Trade,Low,0.0,103
immunity booster packaging was damaged very disappointed reply fast,Packaging,Medium,-0.545,41
Product quality is very good,Product,Low,0.375,108
I want to complain I used protein powder and got dizziness angry,Product,Medium,-0.444,16
This is to inform you This weight loss supplement feels low quality even I think energy drink is low quality because I got vomiting not happy urgent,Product,High,0.167,3
Seal was broken plus Packaging is completely wet angry,Packaging,Medium,-0.583,35
"Very bad experience After using protein powder, I faced dizziness plus My order has delivery delay",Product,High,-0.5,8
Very bad experience I used herbal capsules and got skin rash so I used weight loss supplement and got allergy this is not acceptable,Product,Medium,-0.375,35
Packaging is completely already opened not happy respond fast,Packaging,Medium,0.167,46
Received protein powder in torn condition extremely upset,Packaging,Low,-0.375,92
I used protein powder and got vomiting very disappointed kindly resolve urgent,Product,High,-0.375,9
I want to complain Received herbal capsules in wet condition even I used immunity booster and got allergy extremely upset kindly resolve,Packaging,Medium,-0.375,35
This is to inform you I used immunity booster and got skin rash worst experience reply fast,Product,Medium,-0.545,18
Very bad experience Received energy drink in already opened condition worst experience this is not acceptable not good,Packaging,Medium,-0.643,23
"After using weight loss supplement, I faced allergy but My order has order not updated",Product,Medium,0.0,20
No response about late shipment even My order has late shipment,Trade,Medium,-0.286,30
Very bad experience Received weight loss supplement in torn condition extremely upset urgent,Packaging,Medium,-0.545,24
"This is to inform you After using immunity booster, I faced skin rash need urgent help",Product,Medium,0.0,32
I need help I think vitamin tablets is smells weird because I got headache also energy drink packaging was torn extremely upset very bad service,Product,Low,-0.545,54
Product quality is very good,Packaging,Low,0.375,104
Delivery was fast and smooth,Trade,Low,0.375,102
Very satisfied with service,Trade,Low,0.444,103
The box arrived crushed plus Packaging is completely wet not happy,Packaging,Low,0.167,72
protein powder packaging was seal missing worst experience kindly resolve,Packaging,Medium,-0.545,21
I need help There is price confusion for herbal capsules angry,Trade,Low,-0.444,78
Delivery was fast and smooth,Product,Low,0.375,53
Packaging is completely already opened so My order has order not updated very bad service,Packaging,Low,-0.375,114
I used protein powder and got dizziness so Packaging is completely seal missing frustrated kindly resolve pls help asap,Product,High,-0.375,9
"Very bad experience After using herbal capsules, I faced allergy not happy this is not acceptable not good",Product,Medium,0.167,46
My order has late shipment,Trade,Low,-0.286,110
Honestly My order has delivery delay,Trade,Medium,-0.286,36
Very bad experience No response about no stock but Received vitamin tablets in damaged condition frustrated,Trade,Medium,-0.643,21
I am facing late shipment and Packaging is completely broken angry urgent,Trade,High,-0.643,7
I am happy with the product,Product,Low,0.444,110
Very satisfied with service,Trade,Low,0.444,62
I think weight loss supplement is expired because I got skin rash so I used energy drink and got burning sensation respond fast,Product,Medium,0.0,29
Very satisfied with service,Trade,Low,0.444,61
I want to complain I think energy drink is rotten because I got vomiting very disappointed this is not acceptable,Product,High,-0.375,6
Honestly This immunity booster feels fake urgent,Product,High,-0.444,4
Very bad experience I think vitamin tablets is contaminated because I got stomach pain also Received herbal capsules in seal missing condition,Product,High,-0.375,7
Received energy drink in damaged condition kindly resolve,Packaging,Low,-0.375,51
vitamin tablets packaging was leaking very disappointed this is not acceptable,Packaging,Low,-0.375,87
Honestly My order has price confusion plus protein powder order not updated please fix this,Trade,Low,0.0,115
Everything is working fine,Packaging,Low,0.0,66
I need help Received vitamin tablets in seal missing condition extremely upset,Packaging,Medium,-0.375,26
The box arrived leaking very disappointed pls help asap,Packaging,Medium,-0.375,39
immunity booster is rotten very bad service,Product,Medium,-0.375,22
The box arrived damaged plus immunity booster packaging was wet not happy respond fast pls help asap,Packaging,Medium,-0.286,15
Facing issue I used herbal capsules and got headache plus I used protein powder and got stomach pain worst experience,Product,Low,-0.615,92
Very satisfied with service,Trade,Low,0.444,54
My order has wrong billing this is not acceptable very bad service,Trade,Low,-0.375,55
Delivery was fast and smooth,Packaging,Low,0.375,73
"Very bad experience After using vitamin tablets, I faced skin rash but Received herbal capsules in crushed condition worst experience need urgent help",Product,Medium,-0.643,45
Honestly This immunity booster feels tastes bad angry reply fast,Product,Medium,-0.583,19
Packaging is completely damaged angry,Packaging,Medium,-0.583,32
I think energy drink is low quality because I got vomiting because My order has price confusion,Product,High,0.0,8
immunity booster packaging was broken extremely upset kindly resolve,Packaging,Low,-0.545,60
Very bad experience Seal was wet even I am facing price confusion not happy,Packaging,Low,-0.286,54
This is to inform you I think immunity booster is fake because I got allergy because weight loss supplement is expired very disappointed not good,Product,High,-0.583,3
I think immunity booster is expired because I got stomach pain,Product,Medium,0.0,47
This is to inform you I used herbal capsules and got allergy so vitamin tablets order not updated respond fast urgent,Product,High,0.0,10
This is to inform you I think vitamin tablets is low quality because I got skin rash,Product,Low,0.0,98
I need help I think energy drink is rotten because I got stomach pain so Seal was already opened,Product,High,0.0,2
I need help The box arrived damaged frustrated,Packaging,Low,-0.545,59
I think weight loss supplement is tastes bad because I got headache angry,Product,Low,-0.583,60
My order has delivery delay because This weight loss supplement feels contaminated very bad service,Trade,High,-0.5,7
This is to inform you Received immunity booster in wet condition even No response about late shipment extremely upset,Packaging,Low,-0.5,75
Everything is working fine,Packaging,Low,0.0,52
Very bad experience Seal was wet worst experience pls help asap,Packaging,Medium,-0.643,47
Everything is working fine,Trade,Low,0.0,116
Honestly I am facing price confusion also My order has no stock extremely upset,Trade,Medium,-0.375,32
I want to complain protein powder is tastes bad angry,Product,Low,-0.583,74
This is to inform you This energy drink feels smells weird because I think weight loss supplement is fake because I got vomiting very disappointed,Product,High,-0.583,4
protein powder is low quality need urgent help,Product,Medium,0.0,28
Facing issue Received immunity booster in torn condition and I think weight loss supplement is rotten because I got skin rash,Packaging,Medium,-0.286,43
Very bad experience energy drink packaging was already opened plus I used energy drink and got nausea very disappointed need urgent help,Packaging,Medium,-0.545,45
Facing issue Seal was leaking,Packaging,Medium,-0.286,15
I think immunity booster is tastes bad because I got skin rash kindly resolve urgent,Product,Medium,-0.375,41
Very bad experience Seal was crushed plus My order has price confusion worst experience please fix this,Packaging,Low,-0.643,104
Nice experience overall,Packaging,Low,0.375,78
I need help No response about late shipment plus This energy drink feels expired not happy,Trade,High,-0.167,10
I want to complain I think weight loss supplement is low quality because I got vomiting also The box arrived wet worst experience need urgent help,Product,High,-0.545,7
"Honestly I think vitamin tablets is smells weird because I got burning sensation but After using vitamin tablets, I faced skin rash worst experience",Product,Low,-0.545,116
Nice experience overall,Trade,Low,0.375,100
Honestly I think herbal capsules is low quality because I got burning sensation please fix this,Product,Medium,0.0,47
No response about price confusion angry,Trade,Low,-0.444,61
No response about price confusion because vitamin tablets packaging was broken extremely upset very bad service,Trade,Medium,-0.643,18
The box arrived torn because energy drink order not updated extremely upset need urgent help,Packaging,Medium,-0.375,31
"After using herbal capsules, I faced nausea so Seal was damaged",Product,Medium,-0.375,41
"This is to inform you After using energy drink, I faced allergy plus I think immunity booster is smells weird because I got headache",Product,Medium,0.0,22
"I want to complain After using weight loss supplement, I faced stomach pain and My order has delivery delay frustrated respond fast very bad service",Product,Medium,-0.615,24
Facing issue I used vitamin tablets and got vomiting but The box arrived torn frustrated this is not acceptable,Product,Medium,-0.5,41
Honestly No response about price confusion because The box arrived crushed,Trade,Low,0.0,102
Very satisfied with service,Trade,Low,0.444,79
Facing issue herbal capsules is rotten frustrated,Product,Medium,-0.5,14
This is to inform you I am facing price confusion reply fast,Trade,Low,0.0,54
"After using herbal capsules, I faced stomach pain kindly resolve",Product,Low,0.0,96
Received immunity booster in leaking condition even I am facing no stock worst experience,Packaging,Medium,-0.545,44
Product quality is very good,Product,Low,0.375,98
I used vitamin tablets and got stomach pain also Seal was leaking angry kindly resolve,Product,Medium,-0.444,15
I need help There is late shipment for weight loss supplement also There is price confusion for protein powder worst experience,Trade,Medium,-0.615,35
Everything is working fine,Product,Low,0.0,71
Nice experience overall,Trade,Low,0.375,89
Very bad experience immunity booster order not updated extremely upset,Trade,Low,-0.545,77
This is to inform you I used vitamin tablets and got stomach pain worst experience please fix this,Product,Low,-0.545,60
This is to inform you Received herbal capsules in torn condition frustrated this is not acceptable,Packaging,Low,-0.375,115
Received energy drink in wet condition very disappointed,Packaging,Low,-0.375,110
Seal was broken very disappointed respond fast very bad service,Packaging,Medium,-0.643,48
I am facing order not updated plus Received herbal capsules in damaged condition kindly resolve,Trade,Medium,-0.375,23
"No issues, product is perfect",Product,Low,0.375,72
"No issues, product is perfect",Product,Low,0.375,72
Honestly I am facing no stock very disappointed,Trade,Low,-0.375,109
"After using immunity booster, I faced dizziness but The box arrived wet pls help asap",Product,Medium,0.0,29
I need help This weight loss supplement feels rotten also herbal capsules packaging was wet worst experience kindly resolve,Product,Medium,-0.545,25
This is to inform you The box arrived crushed extremely upset,Packaging,Low,-0.375,69
